luc_class,region,rock_type,soil,slope,erosion,vegetation
6e10,SHW,Mj+Wb,25aH,D,1Ef,P 1 H 2
6w 3,SI,Al,88,A    +B,0,H 2 p 2
4e 4,TMU,Lo/Sm,MnR,D,0,P 1
estu,NLD,estu,estu,estu,estu,M12
3s 2,MARL,Lo/Al/Ms,25,C,1W,P 2 m 1 p 3 h 2
4w 4,SI,Al,91,A,1Sb,M 6 H 1 n 7
7e20,MARL,Gw,51,F,3Sh,P 3 p 2 h 7 m10
6e 1,NLD,Sb,TMH,D    +E,1Sh,P 1 m 1
6e 9,NLD,Gw',HKrH,D    +E,1Ss1T,P 2 m 8
3e 3,MARL,Lo/Al,20c,B,1W,P 1 l 1
5s 3,SI,Al,34d,B    +G,0,P 2 p 1 m 1 n 5
8c 2,SI,ice,ice,ice,ice,ice
4e 7,NLD,Gw',RA,C    +D,1T,P 1 m 8
7e18,MARL,Gw,65,E,0,N4b
1s 1,WKO,Us,TP,A,0,P 1
7e17,TMU,Sm,117,F    +G,2Ss1Sh,P 2 m 6 m 4
6e 9,NLD,Gw,MRH,E,0,N3a p 1 m 1
rive,SI,rive,rive,rive,rive,rive
8e11,SI,St1+St2,BRock,G,2Sc Da,h 4
lake,BOP,lake,lake,lake,lake,lake
3s12,SI,Lo/Al,21c,A,1W,P 1 l 1
7e 1,NLD,Vo+Vo',HAlS,F    +G,1Da1Sh,N3a n 1 m 1
estu,BOP,estu,estu,estu,estu,estu
8e 1,NLD,Wb,BRock,B,0,sN 6
4w 1,GEC,Al/Gr,@NZSC,A,1Sb1D,refer gecveg
8e 1,GEC,Wb,@NZSC,B,5W,refer gecveg
7e 3,GEC,Mb,@NZSC,F    +G,2Ss1Su,refer gecveg
7e 2,WKO,Gw,WnS,F    +G,1Da,N 5 n3a
lake,SI,lake,lake,lake,lake,lake
8e15,MARL,Wb,68b,C    +D,3W,P 6
6e 3,GEC,Mo/Sm,@NZSC,E    +F,1Ss,refer gecveg
4s10,SI,Al,59,B,0,P 1 M 1 m 8
lake,SI,lake,lake,lake,lake,lake
lake,SI,lake,lake,lake,lake,lake
7e24,MARL,Gw,57a,F,1Da1Ss,P 3 n 6 m 6
7s 1,SI,Al,99d,B,1Sb,N 4 n3a m 6
6e19,MARL,Gw,51,E,1Sh,P 2 p 3 m11 m10
